"","unique_squirrel_id","hectare","shift","date","hectare_squirrel_number","age","primary_fur_color","highlight_fur_color","combination_of_primary_and_highlight_color","location","lat_long","long","lat","activity","reaction","sounds"
"1534","39I-PM-1013-04","39I","2",2018-10-13,4,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.95200246546021 40.7947329828155)",-73.9520024654602,40.7947329828155,"2","3","0"
"1535","17D-AM-1008-01","17D","1",2018-10-08,1,"1","1","White","Gray+White","1","POINT (-73.9695226023739 40.7797527775804)",-73.9695226023739,40.7797527775804,"4","2","0"
"1536","7H-PM-1006-06","07H","2",2018-10-06,6,"1","1",NA,"Gray+","2","POINT (-73.9703921271418 40.770027611531404)",-73.9703921271418,40.7700276115314,"5","1","0"
"1537","6E-PM-1010-02","06E","2",2018-10-10,2,"1","2","White","Cinnamon+White","1","POINT (-73.9746128451271 40.7700957046709)",-73.9746128451271,40.7700957046709,"3","1","0"
"1538","10A-PM-1014-03","10A","2",2018-10-14,3,"1","1","Black, Cinnamon, White","Gray+Black, Cinnamon, White","2","POINT (-73.9767220179725 40.7753262103123)",-73.9767220179725,40.7753262103123,"2","1","0"
"1539","10H-AM-1014-01","10H","1",2018-10-14,1,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9698083598887 40.7720099392886)",-73.9698083598887,40.7720099392886,"3","0","0"
"1540","20C-PM-1018-02","20C","2",2018-10-18,2,"1","1",NA,"Gray+","1","POINT (-73.9681874036914 40.7817948690964)",-73.9681874036914,40.7817948690964,"1","0","0"
"1541","40B-AM-1019-06","40B","1",2018-10-19,6,"2","1","White","Gray+White","1","POINT (-73.957710975899 40.7984055614047)",-73.957710975899,40.7984055614047,"3","2","0"
"1542","13D-PM-1018-04","13D","2",2018-10-18,4,"1","1","White","Gray+White","1","POINT (-73.9711617997772 40.7761212878075)",-73.9711617997772,40.7761212878075,"3","1","0"
"1543","31D-PM-1006-03","31D","2",2018-10-06,3,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.960876728048 40.79035724537)",-73.960876728048,40.79035724537,"3","1","0"
